contract_id,customer_name,product_name,currency,base_price,energy_rule,energy_index_2023,energy_api_now,energy_ratio,energy_adder_percentage,energy_amount,raw_rule,raw_instrument,raw_index_2023,raw_api_now,raw_ratio,raw_adder_percentage,raw_amount,rate_rule,rate_instrument,rate_percent,payment_terms_days,financing_per_ton,logistics_eur_per_trip,fx_rule,logistics_amount,logistics_currency,demurrage_eur_per_container_day,demurrage_amount,indicative_price_per_ton,calculation_rule
CON-2023-0001,Global Plastics Inc.,Polyethylene,USD,1200.00,api,20.180000,21.110000,1.046085,5.0,62.77,api,BRENT,83.100000,90.900000,1.093863,10.0,131.26,api,SOFR,3.880000,30,4.45,975.00,api,1111.79,USD,150.00,0.00,1394.03,energy_api+raw_api+rate_api+logistics_fixed
CON-2023-0002,Chemical Solutions Co.,Chloroform,USD,900.00,api,20.180000,21.110000,1.046085,7.0,65.90,api,BRENT,83.100000,90.900000,1.093863,3.0,29.53,api,SOFR,3.880000,45,4.76,975.00,api,1111.79,USD,150.00,0.00,995.44,energy_api+raw_api+rate_api+logistics_fixed
CON-2023-0003,BioChem Innovations,Ethanol,USD,1100.00,api,20.180000,21.110000,1.046085,4.0,46.03,api,MAIZE,302.800000,224.000000,0.739762,6.0,48.82,api,SOFR,3.880000,60,7.62,975.00,api,1111.79,USD,150.00,0.00,1194.85,energy_api+raw_api+rate_api+logistics_fixed
CON-2023-0004,Pharma Grade Chemicals,Sodium Hydroxide,EUR,800.00,api,20.180000,21.110000,1.046085,6.0,50.21,static,NONE,1.000000,1.000000,1.000000,12.0,96.00,api,EURIBOR_3M,2.513143,30,1.95,975.00,api,975.00,EUR,150.00,0.00,946.21,energy_api+raw_static+rate_api+logistics_fixed
CON-2023-0005,AgriChem Corp.,Ammonium Nitrate,USD,500.00,api,20.180000,21.110000,1.046085,2.0,10.46,static,NONE,1.000000,1.000000,1.000000,8.0,40.00,api,SOFR,3.880000,60,3.51,975.00,api,1111.79,USD,150.00,0.00,550.46,energy_api+raw_static+rate_api+logistics_fixed
CON-2023-0006,Industrial Solvents Ltd.,Acetone,USD,1050.00,api,20.180000,21.110000,1.046085,10.0,109.84,api,BRENT,83.100000,90.900000,1.093863,5.0,57.43,api,SOFR,3.880000,45,5.82,975.00,api,1111.79,USD,150.00,0.00,1217.27,energy_api+raw_api+rate_api+logistics_fixed
CON-2023-0007,Building Materials Co.,Silica Sand,EUR,250.00,api,20.180000,21.110000,1.046085,0.0,0.00,static,NONE,1.000000,1.000000,1.000000,0.0,0.00,api,EURIBOR_3M,2.513143,30,0.52,975.00,api,975.00,EUR,150.00,0.00,250.00,energy_api+raw_static+rate_api+logistics_fixed
CON-2023-0008,TransChem Co.,Sodium Bicarbonate,USD,600.00,api,20.180000,21.110000,1.046085,1.0,6.28,static,NONE,1.000000,1.000000,1.000000,10.0,60.00,api,SOFR,3.880000,60,4.25,975.00,api,1111.79,USD,150.00,0.00,666.28,energy_api+raw_static+rate_api+logistics_fixed
CON-2023-0009,Synthetic Fibers Corp.,Nylon 66,USD,1350.00,api,20.180000,21.110000,1.046085,5.0,70.61,api,BRENT,83.100000,90.900000,1.093863,15.0,221.51,api,SOFR,3.880000,30,5.24,975.00,api,1111.79,USD,150.00,0.00,1642.12,energy_api+raw_api+rate_api+logistics_fixed
CON-2023-0010,Fuel Additives Ltd.,MTBE,USD,950.00,api,20.180000,21.110000,1.046085,3.0,29.81,api,BRENT,83.100000,90.900000,1.093863,7.0,72.74,api,SOFR,3.880000,45,5.03,975.00,api,1111.79,USD,150.00,0.00,1052.56,energy_api+raw_api+rate_api+logistics_fixed
CON-2023-0011,ElectroTech Industries,Lead Acetate,EUR,890.00,api,20.180000,21.110000,1.046085,8.0,74.48,static,NONE,1.000000,1.000000,1.000000,4.0,35.60,api,EURIBOR_3M,2.513143,30,2.07,975.00,api,975.00,EUR,150.00,0.00,1000.08,energy_api+raw_static+rate_api+logistics_fixed
CON-2023-0012,Green Energy Solutions,Glycerin,USD,720.00,api,20.180000,21.110000,1.046085,6.0,45.19,api,MAIZE,302.800000,224.000000,0.739762,5.0,26.63,api,SOFR,3.880000,30,2.53,975.00,api,1111.79,USD,150.00,0.00,791.82,energy_api+raw_api+rate_api+logistics_fixed
CON-2023-0013,Polymers International,Polypropylene,EUR,1050.00,api,20.180000,21.110000,1.046085,10.0,109.84,api,BRENT,83.100000,90.900000,1.093863,2.0,22.97,api,EURIBOR_3M,2.513143,60,4.89,975.00,api,975.00,EUR,150.00,0.00,1182.81,energy_api+raw_api+rate_api+logistics_fixed
CON-2023-0014,ChemReserve LLC,Hydrochloric Acid,USD,370.00,api,20.180000,21.110000,1.046085,3.0,11.61,static,NONE,1.000000,1.000000,1.000000,7.0,25.90,api,SOFR,3.880000,60,2.60,975.00,api,1111.79,USD,150.00,0.00,407.51,energy_api+raw_static+rate_api+logistics_fixed
CON-2023-0015,Nutrient Solutions,Urea,EUR,480.00,api,20.180000,21.110000,1.046085,1.0,5.02,static,NONE,1.000000,1.000000,1.000000,3.0,14.40,api,EURIBOR_3M,2.513143,30,1.03,975.00,api,975.00,EUR,150.00,0.00,499.42,energy_api+raw_static+rate_api+logistics_fixed
CON-2023-0016,Water Purity Solutions,Potassium Chloride,USD,650.00,api,20.180000,21.110000,1.046085,5.0,34.00,static,NONE,1.000000,1.000000,1.000000,8.0,52.00,api,SOFR,3.880000,45,3.52,975.00,api,1111.79,USD,150.00,0.00,736.00,energy_api+raw_static+rate_api+logistics_fixed
